City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
337,Fayaoue,-20.65,166.5333,71.91,59,26,21.39,scattered clouds
338,Mayumba,-3.432,10.6554,69.66,91,93,3.98,overcast clouds
339,Grand Gaube,-20.0064,57.6608,69.39,61,77,11.01,broken clouds
340,Husavik,66.0449,-17.3389,49.28,78,95,1.1,overcast clouds
341,Bethanien,-26.502,17.1583,56.75,13,84,5.39,broken clouds
342,San Patricio,28.017,-97.5169,98.17,45,100,7.7,overcast clouds
343,Morrope,-6.5417,-80.0111,68.11,67,58,16.35,broken clouds
344,Benghazi,32.1167,20.0667,81.03,70,0,8.14,clear sky
345,Payo,-3.7508,103.6372,73.54,92,74,2.13,broken clouds
346,Yevlax,40.6089,47.1492,76.93,60,0,5.48,clear sky
347,Sao Joao Da Barra,-21.6403,-41.0511,69.21,66,95,29.3,overcast clouds
348,Luau,-10.7073,22.2247,64.58,23,60,4.88,broken clouds
349,Kamaishi,39.2667,141.8833,77.07,93,100,7.49,overcast clouds
350,Estepona,36.4276,-5.1459,76.82,78,6,4.92,clear sky
351,Xuchang,34.0167,113.8167,79.07,75,22,6.31,few clouds
352,Redford,42.3834,-83.2966,79.95,51,75,13.8,broken clouds
353,Marystown,47.1666,-55.1483,58.73,89,100,7.29,overcast clouds
354,Angol,-37.8,-72.7167,49.8,87,100,1.16,overcast clouds
355,Hinton,53.4001,-117.5857,62.15,90,100,4.05,overcast clouds
356,Tocache,-8.1842,-76.5125,81.5,70,33,1.57,scattered clouds
357,Namatanai,-3.6667,152.4333,81.0,79,100,8.43,light rain
358,Homer,59.6425,-151.5483,60.04,89,100,5.99,overcast clouds
359,Tungor,53.3808,142.9564,59.86,89,47,4.18,scattered clouds
360,Zonguldak,41.25,31.8333,62.62,92,65,3.04,broken clouds
361,Loiza,18.4313,-65.8802,84.63,83,100,12.82,overcast clouds
362,Caninde,-4.3589,-39.3117,77.85,59,79,4.32,broken clouds
363,Konstantinovskaya,44.0456,43.1583,71.89,68,2,5.95,clear sky
364,Tuktoyaktuk,69.4541,-133.0374,49.96,78,100,14.14,overcast clouds
365,Yaring,6.8662,101.3689,77.14,88,100,5.03,overcast clouds
366,Turkeve,47.1,20.75,69.03,44,100,10.85,overcast clouds
367,Marrakesh,31.6315,-8.0083,87.87,40,40,4.61,scattered clouds
368,Jiwani,25.05,61.7417,81.88,87,97,8.52,overcast clouds
369,Alofi,-19.0595,-169.9187,78.15,74,44,14.65,scattered clouds
370,Kem,64.9555,34.5793,58.35,69,96,14.92,overcast clouds
371,Biak,-0.9131,122.8766,75.29,88,96,1.61,overcast clouds
372,Araouane,18.9048,-3.5265,100.0,26,1,5.37,clear sky
373,Naifaru,5.4444,73.3657,81.27,79,69,12.33,broken clouds
374,Calvinia,-31.4707,19.776,48.54,80,91,6.76,overcast clouds
