City_ID,City,Max Temp,Current Conditions,Lat,Lng,Hotel Name
493,Bikin,62.96,scattered clouds,46.8161,134.26,Azhur
495,Kenai,62.69,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
496,Nsanje,66.36,clear sky,-16.92,35.262,Nsanje Discovery Lodge
497,Katangli,60.12,broken clouds,51.7102,143.2326,
498,Vostok,59.79,broken clouds,46.4856,135.8833,
499,Labuhan,76.82,broken clouds,-6.8844,112.2051,DoubleFAG
500,Jinchang,77.5,few clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
501,Sorrento,73.76,scattered clouds,40.626,14.3744,Hilton Sorrento Palace
504,San Quintin,77.49,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
505,Euclid,76.62,scattered clouds,41.5931,-81.5268,Econo Lodge Wickliffe - Cleveland East
508,Chicama,61.34,few clouds,-7.8447,-79.1469,Balihai Bungalows
509,Zwedru,72.18,broken clouds,6.0667,-8.1281,Elijah Worjloh
510,Ferme-Neuve,65.39,scattered clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
511,Cedeno,77.14,broken clouds,7.0464,-72.1634,BASE MILITAR DE GIBRALTAR
512,Mathathane,66.78,clear sky,-22.2687,28.7495,Selepswe Resort
513,Coffs Harbour,57.16,light intensity shower rain,-30.3,153.1333,Aquajet Motel
514,Wajid,71.67,broken clouds,3.8093,43.2471,xamdihotelresturant114
515,Japura,77.76,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
516,Sorong,76.86,broken clouds,-0.8833,131.25,Waigo Splash Hotel
517,Cap Malheureux,69.48,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
519,Kartuzy,56.84,clear sky,54.3342,18.1974,Hotel Pod Orłem
520,Fortuna,74.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
521,Ruiru,62.67,overcast clouds,-1.1606,36.9567,Overstone Park Hotel
524,Gambiran,74.21,broken clouds,-6.7988,111.4951,GUBUK KU
525,Mzimba,57.36,clear sky,-11.9,33.6,Zagegs Hotel
526,Canita,77.29,overcast clouds,9.2097,-78.8811,Hospedaje Sol del Este Cañita
527,Tevaitoa,78.46,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
530,Nemuro,65.82,moderate rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
531,Bourail,67.08,clear sky,-21.5667,165.4833,Motel Allamanda
533,Torata,63.37,clear sky,-17.0769,-70.8433,Lodging Sra. Tina Vera
537,Rabo De Peixe,72.91,broken clouds,37.8,-25.5833,Quinta das Giestas
539,Lewiston,76.71,overcast clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
540,Rochegda,61.52,overcast clouds,62.8,43.25,
542,Pochutla,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
546,Kundiawa,64.8,overcast clouds,-6.0167,144.9667,Pari
547,Bilibino,63.19,light rain,68.0546,166.4372,Gostinitsa Severyanka
549,Dahod,75.33,overcast clouds,22.8333,74.2667,Hotel Laxmi Inn
551,La Union,76.98,broken clouds,-5.4,-80.75,Los Portales
552,Anadyr,59.5,broken clouds,64.75,177.4833,Отке17.ру — жильё для командированных
554,Durango,66.79,broken clouds,24.8333,-104.8333,
555,Port-Gentil,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
556,Skegness,66.27,clear sky,53.1436,0.3363,The Royal Hotel
557,Bangangte,61.16,light rain,5.1409,10.5198,Hôtel Cristal Foua Ndigong
558,Dogondoutchi,77.59,light rain,13.6393,4.0287,Hôtel Alheri Maison Alheri
559,Gat,79.81,clear sky,31.61,34.7642,OlusHome
561,Madingou,75.52,broken clouds,-4.1536,13.55,HOTEL KIM ELISA
568,Benjamin Aceval,66.34,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
570,Ciudad Guayana,77.92,overcast clouds,8.3533,-62.6528,Hotel Las Americas
571,Manakara,65.52,light rain,-22.1333,48.0167,La Residence Manakara
572,Sungaipenuh,66.79,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
576,Lakatoro,76.3,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
577,Lano,71.85,overcast clouds,10.1725,11.4715,Lano
580,Almaznyy,78.49,overcast clouds,48.0448,40.045,
581,Boyuibe,61.74,clear sky,-20.4167,-63.2833,Residencial Eluzai
582,Hay River,62.64,few clouds,60.8156,-115.7999,Ptarmigan Inn
583,San Rafael,57.38,clear sky,-34.6177,-68.3301,Hotel San Rafael
585,Asau,60.28,light rain,46.4333,26.4,Casa Mika Ciobanus
587,Morondava,68.59,clear sky,-20.2833,44.2833,La Case Bambou
589,Kalmunai,79.2,overcast clouds,7.4167,81.8167,VS Villa
590,Anchorage,65.28,overcast clouds,61.2181,-149.9003,Hotel Captain Cook
591,Port Hardy,61.7,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
592,College,68.32,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
593,Aklavik,67.33,few clouds,68.2191,-135.0107,Aklavik Inn
